"","x"
"Alouatta_caraya","Alouatta_caraya"
"Aotus_griseimembra","Aotus_griseimembra"
"Ateles_fusciceps","Ateles_fusciceps"
"Ateles_geoffroyi","Ateles_geoffroyi"
"Callimico_goeldii","Callimico_goeldii"
"Callithrix_geoffroyi","Callithrix_geoffroyi"
"Callithrix_jacchus","Callithrix_jacchus"
"Cebuella_pygmaea","Cebuella_pygmaea"
"Cebus_capucinus","Cebus_capucinus"
"Cercopithecus_neglectus","Cercopithecus_neglectus"
"Cheirogaleus_medius","Cheirogaleus_medius"
"Colobus_guereza","Colobus_guereza"
"Erythrocebus_patas","Erythrocebus_patas"
"Eulemur_coronatus","Eulemur_coronatus"
"Eulemur_macaco","Eulemur_macaco"
"Eulemur_mongoz","Eulemur_mongoz"
"Galago_moholi","Galago_moholi"
"Galago_senegalensis","Galago_senegalensis"
"Gorilla_gorilla","Gorilla_gorilla"
"Hylobates_lar","Hylobates_lar"
"Lemur_catta","Lemur_catta"
"Leontocebus_fuscicollis","Leontocebus_fuscicollis"
"Leontopithecus_chrysomelas","Leontopithecus_chrysomelas"
"Leontopithecus_rosalia","Leontopithecus_rosalia"
"Macaca_fascicularis","Macaca_fascicularis"
"Macaca_fuscata","Macaca_fuscata"
"Macaca_mulatta","Macaca_mulatta"
"Macaca_nigra","Macaca_nigra"
"Macaca_silenus","Macaca_silenus"
"Macaca_sylvanus","Macaca_sylvanus"
"Mandrillus_sphinx","Mandrillus_sphinx"
"Mico_argentatus","Mico_argentatus"
"Microcebus_murinus","Microcebus_murinus"
"Nasalis_larvatus","Nasalis_larvatus"
"Nomascus_leucogenys","Nomascus_leucogenys"
"Nycticebus_coucang","Nycticebus_coucang"
"Nycticebus_pygmaeus","Nycticebus_pygmaeus"
"Pan_troglodytes","Pan_troglodytes"
"Papio_hamadryas","Papio_hamadryas"
"Pithecia_pithecia","Pithecia_pithecia"
"Plecturocebus_donacophilus","Plecturocebus_donacophilus"
"Pongo_abelii","Pongo_abelii"
"Pongo_pygmaeus","Pongo_pygmaeus"
"Propithecus_coquereli","Propithecus_coquereli"
"Saguinus_bicolor","Saguinus_bicolor"
"Saguinus_geoffroyi","Saguinus_geoffroyi"
"Saguinus_imperator","Saguinus_imperator"
"Saguinus_leucopus","Saguinus_leucopus"
"Saguinus_midas","Saguinus_midas"
"Saguinus_mystax","Saguinus_mystax"
"Saguinus_oedipus","Saguinus_oedipus"
"Saimiri_boliviensis","Saimiri_boliviensis"
"Saimiri_sciureus","Saimiri_sciureus"
"Sapajus_apella","Sapajus_apella"
"Symphalangus_syndactylus","Symphalangus_syndactylus"
"Theropithecus_gelada","Theropithecus_gelada"
"Trachypithecus_auratus","Trachypithecus_auratus"
"Trachypithecus_cristatus","Trachypithecus_cristatus"
"Trachypithecus_francoisi","Trachypithecus_francoisi"
"Trachypithecus_obscurus","Trachypithecus_obscurus"
"Varecia_rubra","Varecia_rubra"
"Varecia_variegata","Varecia_variegata"
