"","species","family","cut_36.806664","cut_34.384902","cut_60.706529","cut_60.376520","cut_60.165324","cut_25.941862","cut_59.978522","cut_59.584766","cut_59.178421","cut_59.155194","cut_58.608163","cut_58.375120","cut_58.293550","cut_58.119639","cut_24.714781","cut_57.455578","cut_57.224217","cut_57.043022","cut_56.877387","cut_56.663492","cut_56.078642","cut_55.215295","cut_54.417322","cut_54.060292","cut_21.673859","cut_52.882664","cut_51.850971","cut_51.421126","cut_50.260534","cut_49.505706","cut_49.001653","cut_47.544069","cut_47.198015","cut_45.788059","cut_42.375817","cut_40.451411","cut_40.010882","cut_39.129264","cut_37.432754","cut_0.000000"
"1","Alouatta_caraya","Atelidae",6,6,1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,8,7,6,6,2
"2","Aotus_griseimembra","Aotidae",6,6,1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,9,7,7,2
"3","Ateles_geoffroyi","Atelidae",6,6,1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,8,7,6,6,2
"4","Callimico_goeldii","Callitrichidae",6,6,1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,12,12,10,10,9,11,10,9,7,7,2
"5","Callithrix_geoffroyi","Callitrichidae",6,6,1,-1,-1,5,4,5,6,7,9,10,10,10,5,10,10,10,11,11,10,10,10,11,3,11,11,11,12,12,12,10,10,9,11,10,9,7,7,2
"6","Callithrix_jacchus","Callitrichidae",6,6,1,-1,-1,5,4,5,6,7,9,10,10,10,5,10,10,10,11,11,10,10,10,11,3,11,11,11,12,12,12,10,10,9,11,10,9,7,7,2
"7","Cebuella_pygmaea","Callitrichidae",6,6,1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,11,11,12,11,10,10,10,11,3,11,11,11,12,12,12,10,10,9,11,10,9,7,7,2
"8","Cercopithecus_neglectus","Cercopithecidae",5,5,1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,8,8,8,8,8,7,6,5,5,2
"9","Cheirogaleus_medius","Cheirogaleidae",-1,2,1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
"10","Colobus_guereza","Cercopithecidae",5,5,1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,7,7,7,7,6,5,5,2
"11","Erythrocebus_patas","Cercopithecidae",5,5,1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,8,8,8,8,8,7,6,5,5,2
"12","Eulemur_coronatus","Lemuridae",3,3,1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,4,2,4,4,4,4,4,4,4,4,4,4,4,4,3,3,1
"13","Eulemur_macaco","Lemuridae",3,3,1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,4,2,4,4,4,4,4,4,4,4,4,4,4,4,3,3,1
"14","Eulemur_mongoz","Lemuridae",3,3,1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,4,4,4,4,4,4,4,4,4,4,4,4,3,3,1
"15","Galago_moholi","Galagidae",1,1,1,-1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"16","Galago_senegalensis","Galagidae",1,1,1,-1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"17","Gorilla_gorilla","Hominidae",4,4,1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,6,6,6,6,6,6,6,6,5,4,4,2
"18","Hylobates_lar","Hylobatidae",4,4,1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2
"19","Lemur_catta","Lemuridae",3,3,1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
"20","Leontocebus_fuscicollis","Callitrichidae",6,6,1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,8,8,9,3,9,9,9,10,10,10,10,10,9,11,10,9,7,7,2
"21","Leontopithecus_chrysomelas","Callitrichidae",6,6,1,-1,-1,5,3,4,5,6,8,9,9,9,5,9,9,9,10,10,9,9,9,10,3,10,10,10,11,11,11,10,10,9,11,10,9,7,7,2
"22","Leontopithecus_rosalia","Callitrichidae",6,6,1,-1,-1,5,3,4,5,6,8,9,9,9,5,9,9,9,10,10,9,9,9,10,3,10,10,10,11,11,11,10,10,9,11,10,9,7,7,2
"23","Macaca_fascicularis","Cercopithecidae",5,5,1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,6,7,7,7,7,7,8,3,8,8,8,9,9,9,9,9,8,8,7,6,5,5,2
"24","Macaca_fuscata","Cercopithecidae",5,5,1,-1,-1,4,-1,-1,-1,-1,-1,5,5,5,4,6,6,6,7,7,7,7,7,8,3,8,8,8,9,9,9,9,9,8,8,7,6,5,5,2
"25","Macaca_mulatta","Cercopithecidae",5,5,1,-1,-1,4,-1,-1,-1,-1,-1,5,5,5,4,6,6,6,7,7,7,7,7,8,3,8,8,8,9,9,9,9,9,8,8,7,6,5,5,2
"26","Macaca_nigra","Cercopithecidae",5,5,1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,6,6,6,6,7,8,3,8,8,8,9,9,9,9,9,8,8,7,6,5,5,2
"27","Macaca_silenus","Cercopithecidae",5,5,1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,6,6,6,6,7,8,3,8,8,8,9,9,9,9,9,8,8,7,6,5,5,2
"28","Mandrillus_sphinx","Cercopithecidae",5,5,1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,7,8,8,9,9,9,8,8,7,6,5,5,2
"29","Mico_argentatus","Callitrichidae",6,6,1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,11,11,12,11,10,10,10,11,3,11,11,11,12,12,12,10,10,9,11,10,9,7,7,2
"30","Microcebus_murinus","Cheirogaleidae",-1,2,1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
"31","Nasalis_larvatus","Cercopithecidae",5,5,1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,6,6,7,7,7,7,7,7,7,7,6,5,5,2
"32","Nycticebus_coucang","Lorisidae",1,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
"33","Nycticebus_pygmaeus","Lorisidae",1,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
"34","Pan_troglodytes","Hominidae",4,4,1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,6,6,6,6,6,6,6,6,5,4,4,2
"35","Papio_hamadryas","Cercopithecidae",5,5,1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,6,7,3,7,7,7,8,8,9,9,9,8,8,7,6,5,5,2
"36","Pongo_abelii","Hominidae",4,4,1,-1,-1,4,-1,-1,-1,2,3,3,3,3,4,4,4,4,4,4,4,4,4,5,3,5,5,5,5,5,5,5,5,5,5,5,5,4,4,2
"37","Pongo_pygmaeus","Hominidae",4,4,1,-1,-1,4,-1,-1,-1,2,3,3,3,3,4,4,4,4,4,4,4,4,4,5,3,5,5,5,5,5,5,5,5,5,5,5,5,4,4,2
"38","Propithecus_coquereli","Indriidae",-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
"39","Saguinus_bicolor","Callitrichidae",6,6,1,-1,-1,5,-1,-1,3,4,6,7,7,7,5,8,8,8,9,9,8,8,8,9,3,9,9,9,10,10,10,10,10,9,11,10,9,7,7,2
"40","Saguinus_geoffroyi","Callitrichidae",6,6,1,-1,2,5,2,3,4,5,7,8,8,8,5,8,8,8,9,9,8,8,8,9,3,9,9,9,10,10,10,10,10,9,11,10,9,7,7,2
"41","Saguinus_imperator","Callitrichidae",6,6,1,-1,-1,5,-1,-1,-1,-1,5,6,6,6,5,7,7,7,8,8,8,8,8,9,3,9,9,9,10,10,10,10,10,9,11,10,9,7,7,2
"42","Saguinus_midas","Callitrichidae",6,6,1,-1,-1,5,-1,-1,3,4,6,7,7,7,5,8,8,8,9,9,8,8,8,9,3,9,9,9,10,10,10,10,10,9,11,10,9,7,7,2
"43","Saguinus_mystax","Callitrichidae",6,6,1,-1,-1,5,-1,-1,-1,-1,5,6,6,6,5,7,7,7,8,8,8,8,8,9,3,9,9,9,10,10,10,10,10,9,11,10,9,7,7,2
"44","Saguinus_oedipus","Callitrichidae",6,6,1,-1,2,5,2,3,4,5,7,8,8,8,5,8,8,8,9,9,8,8,8,9,3,9,9,9,10,10,10,10,10,9,11,10,9,7,7,2
"45","Saimiri_sciureus","Cebidae",6,6,1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,9,8,7,7,2
"46","Sapajus_apella","Cebidae",6,6,1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,9,8,7,7,2
"47","Theropithecus_gelada","Cercopithecidae",5,5,1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,6,7,3,7,7,7,8,8,9,9,9,8,8,7,6,5,5,2
"48","Trachypithecus_auratus","Cercopithecidae",5,5,1,1,1,4,1,2,2,3,4,4,4,4,4,5,5,5,5,5,5,5,5,6,3,6,6,6,7,7,7,7,7,7,7,7,6,5,5,2
