Pattern	Count	Family
Aotus_azarae	14653	Aotidae
Aotus_vociferans	14653	Aotidae
Aotus_trivirgatus	14653	Aotidae
Aotus_griseimembra	14653	Aotidae
Leontocebus_fuscicolis	14825	Unknown
Leontocebus_illigeri	14825	Callitrichidae
Leontocebus_nigricollis	14825	Callitrichidae
Saguinus_imperator	14825	Callitrichidae
Saguinus_geoffroyi	14825	Callitrichidae
Saguinus_oedipus	14825	Callitrichidae
Saguinus_inustus	14825	Callitrichidae
Saguinus_midas	14825	Callitrichidae
Saguinus_labiatus	14825	Callitrichidae
Saguinus_mystax	14825	Callitrichidae
Saguinus_bicolor	14825	Callitrichidae
Cheirogaleus_medius	14707	Cheirogaleidae
Lepilemur_dorsalis	14707	Lepilemuridae
Mirza_zaza	14707	Cheirogaleidae
Microcebus_murinus	14707	Cheirogaleidae
Cheirogaleus_major	14707	Cheirogaleidae
Lepilemur_ruficaudatus	14707	Lepilemuridae
Lepilemur_ankaranensis	14707	Lepilemuridae
Lepilemur_septentrionalis	14707	Lepilemuridae
Colobus_angolensis	15243	Cercopithecidae
Colobus_polykomos	15243	Cercopithecidae
Colobus_guereza	15243	Cercopithecidae
Allochrocebus_lhoesti	15549	Cercopithecidae
Allenopithecus_nigroviridis	15549	Cercopithecidae
Allochrocebus_solatus	15549	Cercopithecidae
Chlorocebus_pygerythrus	15549	Cercopithecidae
Allochrocebus_preussi	15549	Cercopithecidae
Erythrocebus_patas	15239	Cercopithecidae
Indri_indri	12644	Indriidae
Propithecus_perrieri	12644	Indriidae
Propithecus_verreauxi	12644	Indriidae
Propithecus_edwardsi	12644	Indriidae
Avahi_laniger	12644	Indriidae
Propithecus_tattersalli	12644	Indriidae
Avahi_peyrierasi	12644	Indriidae
Propithecus_coquereli	12644	Indriidae
Propithecus_coronatus	12644	Indriidae
Propithecus_diadema	12644	Indriidae
Tarsius_wallacei	10691	Tarsiidae
Tarsius_lariang	10691	Tarsiidae
Tarsius_bancanus	10553	Tarsiidae
Carlito_syrichta	10691	Tarsiidae
Cercopithecus_roloway	15231	Cercopithecidae
Cercopithecus_pogonias	15231	Cercopithecidae
Cercopithecus_hamlyni	15231	Cercopithecidae
Cercopithecus_neglectus	15231	Cercopithecidae
Cercopithecus_cephus	15231	Cercopithecidae
Cercopithecus_lowei	15231	Cercopithecidae
Cercopithecus_mona	15231	Cercopithecidae
Cercopithecus_petaurista	15231	Cercopithecidae
Miopithecus_ogouensis	15231	Cercopithecidae
Cercopithecus_diana	15231	Cercopithecidae
Cercopithecus_ascanius	15231	Cercopithecidae
Cercopithecus_mitis	15231	Cercopithecidae
Cercopithecus_nictitans	15231	Cercopithecidae
Gorilla_beringei	15310	Hominidae
Gorilla_gorilla	15310	Hominidae
Macaca_silenus	15705	Cercopithecidae
Macaca_fuscata	15705	Cercopithecidae
Macaca_cyclopis	15705	Cercopithecidae
Macaca_assamensis	15705	Cercopithecidae
Macaca_thibetana	15705	Cercopithecidae
Macaca_siberu	15705	Cercopithecidae
Macaca_nigra	15705	Cercopithecidae
Macaca_leonina	15705	Cercopithecidae
Macaca_nemestrina	15705	Cercopithecidae
Macaca_radiata	15705	Cercopithecidae
Macaca_fascicularis	15705	Cercopithecidae
Macaca_maura	15705	Cercopithecidae
Macaca_mulatta	15705	Cercopithecidae
Macaca_arctoides	15705	Cercopithecidae
Macaca_tonkeana	15705	Cercopithecidae
Mandrillus_sphinx	15206	Cercopithecidae
Lophocebus_aterrimus	15206	Cercopithecidae
Mandrillus_leucophaeus	15206	Cercopithecidae
Cercocebus_lunulatus	15508	Cercopithecidae
Cercocebus_chrysogaster	15508	Cercopithecidae
Cercocebus_torquatus	15508	Cercopithecidae
Trachypithecus_geei	15669	Cercopithecidae
Trachypithecus_hatinhensis	15669	Cercopithecidae
Pygathrix_cinerea	15669	Cercopithecidae
Semnopithecus_vetulus	15669	Cercopithecidae
Trachypithecus_auratus	15669	Cercopithecidae
Pygathrix_nemaeus	15669	Cercopithecidae
Semnopithecus_hypoleucos	15669	Cercopithecidae
Presbytis_comata	15669	Cercopithecidae
Presbytis_mitrata	15669	Cercopithecidae
Semnopithecus_johnii	15669	Cercopithecidae
Piliocolobus_badius	15669	Cercopithecidae
Pygathrix_nigripes	15669	Cercopithecidae
Piliocolobus_kirkii	15669	Cercopithecidae
