"DGIdb drugs","Associated variants","Cancer","Gene_symbol","Consensus_Score","Driver Level","Onco_gene_OncoVar","Ensembl_ID","Entrez_ID","Gene_biotype","AI-DriverGene","P_value","FDR","OncoVar_Score","CGC","OncoKB","MutPanning","2020Rule","CGCPointMut","CTAT","FASMIC","HCD","MouseMut","Oncogene","TSGene","Therapeutic_target_in_PMID_30971826","PMID_29056346","PMID_29056346_collected_known","TCGA_papers","Intogen","DriverDBv3"
"Drugs","Associated Mutations","PanCancer","ABL2","22","4","Y  [LollipopPlot,  SurvivalPlot]","ENSG00000143322","27","protein_coding","N","0.111172953602168","0.596573590279973","0.447711526065277","1","Oncogene","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","Y"
"Drugs","Associated Mutations","PanCancer","ATM","49","4","Y  [LollipopPlot,  SurvivalPlot]","ENSG00000149311","472","protein_coding","Y","0","0","1","1","TSG","Y","TSG","Y","TSG","N","Y","N","N","Y","N","Y","Y","Y","Y","Y"
"Drugs","Associated Mutations","PanCancer","PTPRB","21","4","Y  [LollipopPlot,  SurvivalPlot]","ENSG00000127329","5787","protein_coding","N","0.594028591961378","0.596573590279973","0.447711526065277","1","Y","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","Y"
"Drugs","Associated Mutations","PanCancer","TGFBR2","48","4","Y  [LollipopPlot,  SurvivalPlot]","ENSG00000163513","7048","protein_coding","Y","0.0000219314304029622","0.00127227218417184","0.729408552423289","1","TSG","Y","N","N","TSG","Y","Y","N","N","Y","N","Y","Y","Y","Y","Y"
"No_drug","Associated Mutations","PanCancer","CLTCL1","21","4","Y  [LollipopPlot,  SurvivalPlot]","ENSG00000269216","8218","protein_coding","N","0.532506132208929","0.596573590279973","0.447711526065277","1","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","FAT1","45","4","Y  [LollipopPlot,  SurvivalPlot]","ENSG00000083857","2195","protein_coding","Y","0","0","1","1","TSG","Y","N","N","TSG","N","N","N","N","Y","N","Y","Y","N","Y","Y"
"No_drug","Associated Mutations","PanCancer","KMT2A","34","4","Y  [LollipopPlot,  SurvivalPlot]","ENSG00000267910","4297","protein_coding","N","0.0315557643233702","0.58261185125065","0.448842422687092","1","TSG","Y","N","N","TSG","N","N","N","Y","N","N","Y","Y","N","N","Y"
"No_drug","Associated Mutations","PanCancer","KMT2D","43","4","Y  [LollipopPlot,  SurvivalPlot]","ENSG00000167548","8085","protein_coding","Y","0.000184909977911962","0.00944263695397476","0.643955562860324","1","TSG","Y","N","N","TSG","N","N","N","N","N","Y","Y","Y","N","N","Y"
"No_drug","Associated Mutations","PanCancer","PCM1","22","4","Y  [SurvivalPlot]","ENSG00000078674","5108","protein_coding","N","0.100902269305357","0.596573590279973","0.447711526065277","1","Y","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","POT1","41","4","Y  [LollipopPlot,  SurvivalPlot]","ENSG00000128513","25913","protein_coding","Y","0.00023107973844141","0.0114530297547903","0.635235088960031","1","TSG","Y","N","N","N","N","N","N","N","N","N","N","Y","N","N","Y"
