"DGIdb drugs","Associated variants","Cancer","Gene_symbol","Consensus_Score","Driver Level","Onco_gene_OncoVar","Ensembl_ID","Entrez_ID","Gene_biotype","AI-DriverGene","P_value","FDR","OncoVar_Score","CGC","OncoKB","MutPanning","2020Rule","CGCPointMut","CTAT","FASMIC","HCD","MouseMut","Oncogene","TSGene","Therapeutic_target_in_PMID_30971826","PMID_29056346","PMID_29056346_collected_known","TCGA_papers","Intogen","DriverDBv3"
"Drugs","Associated Mutations","PanCancer","BRCA2","48","4","Y  [LollipopPlot,  SurvivalPlot]","ENSG00000139618","675","protein_coding","Y","0","0","1","1","TSG","Y","TSG","Y","Pssible_TSG","N","Y","N","N","Y","Y","N","Y","Y","Y","Y"
"No_drug","Associated Mutations","PanCancer","MUC17","1","1","N","ENSG00000169876","140453","protein_coding","N","0.416385380846014","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","Y"
"Drugs","Associated Mutations","PanCancer","CA14","0","0","N","ENSG00000264654","23632","protein_coding","N","0.300514956741536","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","MMP26","0","0","N","ENSG00000167346","56547","protein_coding","N","0.426806275351151","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","NR1D1","0","0","N","ENSG00000126368","9572","protein_coding","N","0.41412129371508","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","AGBL1","0","0","N","ENSG00000166748","123624","protein_coding","N","0.247290785266778","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","APLF","0","0","N","ENSG00000169621","200558","protein_coding","N","0.352204329543335","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","ATP8B3","0","0","N","ENSG00000130270","148229","protein_coding","N","0.428556529258942","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","CCSER2","0","0","N","ENSG00000107771","54462","protein_coding","N","0.194306368244175","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","CFHR4","0","0","N","ENSG00000134365","10877","protein_coding","N","0.0483923905684601","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","CLNK","0","0","N","ENSG00000109684","116449","protein_coding","N","0.350971040312036","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","DNAH3","0","0","N","ENSG00000158486","55567","protein_coding","N","0.596573590279973","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","DYNAP","0","0","N","ENSG00000178690","284254","protein_coding","N","0.575642281599293","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","EMILIN3","0","0","N","ENSG00000183798","90187","protein_coding","N","0.336934244289641","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"No_drug","Associated Mutations","PanCancer","GDPD4","0","0","N","ENSG00000178795","220032","protein_coding","N","0.500122895622872","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","GDPGP1","0","0","N","ENSG00000183208","390637","protein_coding","N","0.555707444220146","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","HACD2","0","0","N","ENSG00000206527","201562","protein-coding","N","0.477854959620647","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"No_drug","Associated Mutations","PanCancer","PTPLB","0","0","N","ENSG00000206527","201562","protein_coding","N","0.59310990408239","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","LRRIQ1","0","0","N","ENSG00000133640","84125","protein_coding","N","0.0280590577791878","0.541943886402317","0.452300422003749","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","MAPK15","0","0","N","ENSG00000260463","225689","protein_coding","N","0.435948145625024","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","NLRP8","0","0","N","ENSG00000179709","126205","protein_coding","N","0.427022582398662","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","PRR29","0","0","N","ENSG00000224383","92340","protein-coding","N","0.461759237433716","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"No_drug","Associated Mutations","PanCancer","SPG11","0","0","N","ENSG00000104133","80208","protein_coding","N","0.177005403415363","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","C9orf173","0","0","N","ENSG00000197768","441476","protein_coding","N","0.596561979924415","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"No_drug","Associated Mutations","PanCancer","STPG3","0","0","N","ENSG00000197768","441476","protein-coding","N","0.528837917836493","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"No_drug","Associated Mutations","PanCancer","TCOF1","0","0","N","ENSG00000070814","6949","protein_coding","N","0.378539985859853","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","TFR2","0","0","N","ENSG00000106327","7036","protein_coding","N","0.417360897546547","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","UBAP2L","0","0","N","ENSG00000143569","9898","protein_coding","N","0.321408032319916","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","XAGE2","0","0","N","ENSG00000185751","9502","protein_coding","N","0.596573590279973","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","ZNF154","0","0","N","ENSG00000179909","7710","protein_coding","N","0.519350307989277","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","ZNF433","0","0","N","ENSG00000197647","163059","protein_coding","N","0.0713768220812076","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","ZNF772","0","0","N","ENSG00000197128","400720","protein_coding","N","0.267057788678548","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
