"DGIdb drugs","Associated variants","Cancer","Gene_symbol","Consensus_Score","Driver Level","Onco_gene_OncoVar","Ensembl_ID","Entrez_ID","Gene_biotype","AI-DriverGene","P_value","FDR","OncoVar_Score","CGC","OncoKB","MutPanning","2020Rule","CGCPointMut","CTAT","FASMIC","HCD","MouseMut","Oncogene","TSGene","Therapeutic_target_in_PMID_30971826","PMID_29056346","PMID_29056346_collected_known","TCGA_papers","Intogen","DriverDBv3"
"Drugs","Associated Mutations","PanCancer","AANAT","0","0","N","ENSG00000129673","15","protein_coding","N","0.487903667039317","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","AMN","0","0","N","ENSG00000166126","81693","protein_coding","N","0.292408816124293","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","APOB","0","0","N","ENSG00000084674","338","protein_coding","N","0.596573590279973","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","CASP1","1","1","N","ENSG00000137752","834","protein_coding","N","0.131835080834961","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y"
"Drugs","Associated Mutations","PanCancer","CD4","1","1","N","ENSG00000268779","920","protein_coding","N","0.226596236039395","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","CEACAM5","0","0","N","ENSG00000272743","1048","protein_coding","N","0.550282111460059","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","GABRQ","0","0","N","ENSG00000147402","55879","protein_coding","N","0.458853893827848","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","GPR143","0","0","N","ENSG00000101850","4935","protein_coding","N","0.539798102122313","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"Drugs","Associated Mutations","PanCancer","GPR63","0","0","N","ENSG00000112218","81491","protein_coding","N","0.257201165833828","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","GPX5","0","0","N","ENSG00000257770","2880","protein_coding","N","0.256872597510587","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
