"DGIdb drugs","Associated variants","Cancer","Gene_symbol","Consensus_Score","Driver Level","Onco_gene_OncoVar","Ensembl_ID","Entrez_ID","Gene_biotype","AI-DriverGene","P_value","FDR","OncoVar_Score","CGC","OncoKB","MutPanning","2020Rule","CGCPointMut","CTAT","FASMIC","HCD","MouseMut","Oncogene","TSGene","Therapeutic_target_in_PMID_30971826","PMID_29056346","PMID_29056346_collected_known","TCGA_papers","Intogen","DriverDBv3"
"Drugs","Associated Mutations","PanCancer","NAGLU","0","0","N","ENSG00000108784","4669","protein_coding","N","0.37009053188771","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","NDUFA9","0","0","N","ENSG00000139180","4704","protein_coding","N","0.35168767778403","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","POU5F1","20","4","Y  [LollipopPlot,  SurvivalPlot]","ENSG00000204531","5460","protein_coding","N","0.270685144071654","0.596573590279973","0.447711526065277","1","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","AHNAK2","1","1","N","ENSG00000185567","113146","protein_coding","N","0.596573590279969","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","C17orf53","0","0","N","ENSG00000125319","78995","protein_coding","N","0.235030519750997","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","C9orf131","10","2","N","ENSG00000174038","138724","protein_coding","Y","0.000773229706893706","0.0332407381363568","0.585943444678604","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","ERAP1","0","0","N","ENSG00000164307","51752","protein_coding","N","0.160033292510466","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","HLA-DPA1","0","0","N","ENSG00000231389","3113","protein_coding","N","0.41875217440149","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"No_drug","Associated Mutations","PanCancer","KLRC2","0","0","N","ENSG00000205809","3822","protein_coding","N","0.330422625485562","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","KRT39","0","0","N","ENSG00000196859","390792","protein_coding","N","0.27784886481155","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"No_drug","Associated Mutations","PanCancer","MROH5","0","0","N","ENSG00000226807","389690","polymorphic_pseudogene","N","0.54787883196109","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"No_drug","Associated Mutations","PanCancer","PITPNM2","0","0","N","ENSG00000090975","57605","protein_coding","N","0.495294344940475","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","RAB11FIP1","0","0","N","ENSG00000156675","80223","protein_coding","N","0.348166071953178","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","RINL","0","0","N","ENSG00000187994","126432","protein_coding","N","0.304795820583541","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"No_drug","Associated Mutations","PanCancer","TROAP","0","0","N","ENSG00000135451","10024","protein_coding","N","0.110549252143366","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","ZNF195","0","0","N","ENSG00000005801","7748","protein_coding","N","0.56698118550712","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
