"DGIdb drugs","Associated variants","Cancer","Gene_symbol","Consensus_Score","Driver Level","Onco_gene_OncoVar","Ensembl_ID","Entrez_ID","Gene_biotype","AI-DriverGene","P_value","FDR","OncoVar_Score","CGC","OncoKB","MutPanning","2020Rule","CGCPointMut","CTAT","FASMIC","HCD","MouseMut","Oncogene","TSGene","Therapeutic_target_in_PMID_30971826","PMID_29056346","PMID_29056346_collected_known","TCGA_papers","Intogen","DriverDBv3"
"Drugs","Associated Mutations","PanCancer","ENOSF1","0","0","N","ENSG00000132199","55556","protein_coding","N","0.276269846178182","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","F5","0","0","N","ENSG00000198734","2153","protein_coding","N","0.587215167598213","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","GABRR3","0","0","N","ENSG00000183185","200959","polymorphic_pseudogene","N","0.11547176444322","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","C3orf67","0","0","N","ENSG00000163689","200844","protein_coding","N","0.218608788049074","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","CCDC63","0","0","N","ENSG00000173093","160762","protein_coding","N","0.364987584739429","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"No_drug","Associated Mutations","PanCancer","CRISPLD1","0","0","N","ENSG00000121005","83690","protein_coding","N","0.125632599035272","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","FLG2","0","0","N","ENSG00000143520","388698","protein_coding","N","0.481744920239524","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","IL22RA1","0","0","N","ENSG00000142677","58985","protein_coding","N","0.27128762430848","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","PALB2","21","4","Y  [SurvivalPlot]","ENSG00000083093","79728","protein_coding","N","0.227002628737973","0.596573590279973","0.447711526065277","1","TSG","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","PNPLA7","0","0","N","ENSG00000130653","375775","protein_coding","N","0.0800086444933374","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","PRR29","0","0","N","ENSG00000224383","92340","protein-coding","N","0.461759237433716","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"No_drug","Associated Mutations","PanCancer","RNASE8","0","0","N","ENSG00000173431","122665","protein_coding","N","0.342242293540117","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
