PDGP_ID,GENUS,SPECIES,SUBSPECIES,FAMILY,GEOGRAPHIC_REGION,COMMON_NAME,IUCN_STATUS,THREATENED_STATUS,WILDBORN,SEX,AB_QC,COV_QC,REFERENCE_SPECIES,N_HET,CALLABLE,nRoH_1mb,sRoH_1mb,AVERAGE_COVERAGE,REFERENCE_LENGTH,LOCATION_LONG_LAT,LOCATION_PROXY,COLLTECTION_YEAR,ENA-SRA_SOURCE_PROJECT,ENA-SRA_SAMPLE_ID
PD_0001,Cheracebus,lugens,ssp,Pitheciidae,AMERICAS,Collared_Titi_Monkey,LC,Unthreatened,W,F,PASS,PASS,Pithecia_pithecia,2443501,2223019478,51,77000000,29.67,2721439713,"-0.3426,-65.1500",Brazil,NA,PRJEB59576 (this study),ERS12091931
PD_0002,Callibella,humilis,ssp,Callitrichidae,AMERICAS,Black-crowned_Dwarf_Marmoset,LC,Unthreatened,W,M,FAIL,PASS,Callithrix_jacchus,1914332,2377304093,17,28400000,23.61,2863864636,"-5.5000,-60.4000",Brazil,NA,PRJEB59576 (this study),ERS12091914
PD_0003,Cacajao,hosomi,ssp,Pitheciidae,AMERICAS,Black-headed_Uacari,VU,Threatened,W,M,PASS,PASS,Pithecia_pithecia,1971712,2323741578,130,188400000,29.66,2721439713,"0.4917,-65.2717",Brazil,NA,PRJEB59576 (this study),ERS12091910
PD_0004,Ateles,belzebuth,ssp,Atelidae,AMERICAS,White-bellied_Spider_Monkey,EN,Threatened,W,F,PASS,PASS,Ateles_geoffroyi,6866811,2351867651,129,226400000,31.96,2683028796,"0.4917,-65.2717",Brazil,NA,PRJEB59576 (this study),ERS12091872
PD_0005,Alouatta,macconnelli,ssp,Atelidae,AMERICAS,Guianan_Red_Howler_Monkey,LC,Unthreatened,W,M,PASS,PASS,Ateles_geoffroyi,5315059,2196149619,55,167800000,29.59,2683028796,"0.8523,-63.4814",Brazil,NA,PRJEB59576 (this study),ERS12091841
PD_0006,Chiropotes,israelita,ssp,Pitheciidae,AMERICAS,NO_ENTRY,DD,DD,W,F,PASS,PASS,Pithecia_pithecia,3699176,2324099770,68,105600000,31.24,2721439713,"0.8523,-63.4814",Brazil,NA,PRJEB59576 (this study),ERS12091946
PD_0007,Cebus,olivaceus,ssp,Cebidae,AMERICAS,Guinan_Weeper_Capuchin,LC,Unthreatened,W,F,PASS,PASS,Cebus_albifrons,3936445,2356144356,51,81400000,28.73,2874442237,"-0.1175,-63.3542",Brazil,NA,PRJEB59576 (this study),ERS12091921
PD_0008,Aotus,trivirgatus,ssp,Aotidae,AMERICAS,Northern_Night_Monkey,LC,Unthreatened,W,F,PASS,PASS,Aotus_nancymaae,2766158,2288027661,344,558600000,33.25,2861668348,"-0.8523,-63.4814",Brazil,NA,PRJEB59576 (this study),ERS12091870
PD_0009,Saguinus,inustus,ssp,Callitrichidae,AMERICAS,White-fronted_Titi_Monkey,LC,Unthreatened,W,M,FAIL,PASS,Saguinus_midas,1503315,2347447875,437,907400000,25.97,2968712378,"-0.7300,-65.3300",Brazil,NA,PRJEB59576 (this study),ERS12091995
PD_0010,Cebuella,niveiventris,ssp,Callitrichidae,AMERICAS,Western_Pygmy_Marmoset,VU,Threatened,W,F,PASS,PASS,Callithrix_jacchus,2061987,2445170794,158,392400000,30.46,2863864636,"-3.218010,-67.334296",Brazil,NA,PRJEB59576 (this study),ERS12091915
PD_0011,Sapajus,macrocephalus,ssp,Cebidae,AMERICAS,NO_ENTRY,DD,DD,W,F,PASS,PASS,Cebus_albifrons,2880780,2336175513,277,812800000,29.59,2874442237,"-2.9038,-68.3571",Brazil,NA,PRJEB59576 (this study),ERS12092030
PD_0012,Saimiri,ustus,ssp,Cebidae,AMERICAS,Golden-backed_Squirrel_Monkey,NT,Unthreatened,W,U,PASS,PASS,Cebus_albifrons,2144435,2084250337,67,117000000,25.01,2874442237,"-6.0221,-61.6319",Brazil,NA,PRJEB59576 (this study),ERS12092017
PD_0013,Cebus,unicolor,ssp,Cebidae,AMERICAS,Spixs_White-fronted_Capuchin,VU,Threatened,W,F,PASS,WARN,Cebus_albifrons,3673415,2062442480,12,25400000,28.62,2874442237,"-1.7092,-69.1093",Brazil,NA,PRJEB59576 (this study),ERS12091923
PD_0014,Plecturocebus,cupreus,ssp,Pitheciidae,AMERICAS,Coppery_Titi_Monkey,LC,Unthreatened,W,F,PASS,PASS,Pithecia_pithecia,4078780,2210836005,34,69800000,28.77,2721439713,"-3.1395,-67.3640",Brazil,NA,PRJEB59576 (this study),ERS12091981
